id,p,theta,beta,nphe,ein,eout
211,0.780041,1.08148,0.989962,0,0,0
211,0.260929,0.778892,0.90245,0,0,0
2212,0.773022,0.185953,0.642428,4,0.1019,0
211,0.476997,0.445561,0.951471,0,0,0
2212,2.12329,0.337332,0.908652,0,0.0343786,0.0492561
211,0.403296,0.694215,0.958553,0,0,0
2212,1.38262,0.436689,0.844835,0,0.200275,0.0536507
2212,1.13313,0.276831,0.781295,0,0.0440375,0.0939803
2212,0.656291,0.542507,0.560291,0,0.0834058,0
2212,2.07721,0.130479,0.909951,0,0.0361639,0.0459602
211,0.612497,0.809353,0.982344,0,0,0
2212,0.79881,0.432641,0.652044,16,0.124559,0
211,3.34096,0.183772,0.985459,39,0.0397345,0.165164
321,1.80652,0.343288,0.974702,0,0.0250401,0.212497
211,0.533303,0.590071,0.765945,0,0,0
211,0.413367,0.625137,0.94688,0,0,0
321,2.09094,0.34314,0.979985,0,0.174365,0.177066
2212,1.02174,0.250047,0.746794,0,0.0503548,0
211,0.749371,0.438213,0.985463,0,0.0287022,0.0483864
321,2.327,0.239495,0.970382,0,0.0229343,0.0459144
211,1.66445,0.171676,0.97554,0,0.0661936,0.167865
2212,1.06783,0.382293,0.748847,0,0.106661,0
2212,1.03731,0.207644,0.748188,0,0.0535592,0.0747539
211,0.387121,0.793282,0.929699,0,0,0
211,0.363317,1.07525,0.950328,62,0,0
211,0.328832,0.434471,0.908222,0,0,0
211,0.256046,0.623478,0.876954,0,0,0
211,1.37301,0.252451,0.89386,0,0.0927901,0
2212,0.936751,0.420329,0.710791,0,0.100389,0.0551614
211,1.67773,0.390936,1.01709,0,0.029572,0
2212,0.859236,0.282623,0.683798,0,0.0857862,0.0454108
211,0.361639,0.793596,0.935712,0,0,0
2212,1.13451,0.424166,0.786815,0,0,0.0793317
2212,3.02373,0.176794,0.964958,0,0.271916,0.434104
211,0.365911,0.86631,0.927583,0,0,0
211,2.54826,0.376823,0.9937,0,0.026276,0.0770886
2212,1.59289,0.230974,0.85638,0,0.109865,0.0637675
2212,2.02121,0.47092,0.905769,0,0.0578164,0.142458
2212,1.09331,0.277635,0.751329,0,0.0795605,0.115999
2212,1.70367,0.204751,0.889238,0,0.289723,0.0499428
2212,1.346,0.250275,0.814795,0,0.0597848,0.067155
2212,1.82086,0.468156,0.880351,0,0.0448615,0.152438
211,0.418555,0.568431,0.93077,0,0,0
2212,0.746624,0.670408,0.6097,0,0,0
211,0.971389,0.399572,0.987271,0,0.0712749,0
2212,0.71931,0.578134,0.609428,0,0.114076,0
211,0.806592,0.490803,0.975823,0,0.135363,0.0382239
211,0.5066,0.686261,0.976273,0,0,0
2212,1.02342,0.73289,0.749774,0,0,0
211,1.56939,0.418745,0.992974,0,0.265644,0
211,0.350805,0.845793,0.92504,0,0,0
2212,1.47372,0.156362,0.826493,0,0.0789654,0
211,0.342107,0.252042,0.912987,0,0,0
2212,2.74235,0.485934,0.943676,0,0.0542458,0.135409
211,0.590219,0.61895,0.978432,0,0,0
211,0.901961,0.479861,0.975502,0,0.019913,0.0948501
2212,1.02464,0.868192,0.729944,0,0,0
211,1.30694,0.409638,0.998954,0,0.0307164,0.150286
211,0.223392,1.22762,0.851202,0,0,0
211,1.89776,0.117279,0.99948,0,0,0
211,0.817121,0.919185,0.996283,0,0,0
2212,1.1809,0.487952,0.785479,0,0.0490272,0.0914168
321,0.991989,0.36694,0.888283,0,0.0233463,0.0690776
211,0.412299,0.752572,0.946315,0,0,0
211,0.330663,1.13967,0.929745,211,0,0
211,0.457313,1.24951,0.940131,0,0,0
211,2.36347,0.434216,1.01246,0,0.0362554,0.0855573
211,1.61746,0.153664,0.999732,0,0.0277409,0.0485695
211,2.2826,0.128885,0.981807,0,0.0276036,0.044358
2212,1.52941,0.245645,0.847228,0,0.0554818,0.258228
211,0.335393,1.21127,0.927549,0,0,0
211,0.283513,0.835063,0.882626,0,0,0
2212,1.90997,0.348746,0.891879,0,0.0779126,0
211,1.07637,0.458132,0.992885,0,0.0319524,0.0517739
211,1.05318,0.471738,1.00327,0,0.0452735,0.0590066
2212,1.20531,0.27213,0.802338,0,0.0434424,0.085008
211,1.5613,0.352332,0.983562,0,0.139391,0.119112
211,0.377661,0.657525,0.943148,0,0,0
211,1.15511,0.147511,1.00904,0,0.0684367,0
2212,1.27871,0.283721,0.817094,0,0.28542,0
2212,2.62379,0.228845,0.937067,0,0.0265965,0.274159
211,0.808728,0.248188,0.968954,0,0.0243534,0.0766766
2212,0.915694,0.542087,0.697482,0,0.0552987,0
211,0.535439,0.721595,0.979084,0,0,0
2212,0.960861,0.274241,0.72191,0,0.109911,0.104921
211,0.717632,0.512479,0.984819,0,0,0
2212,2.15518,0.280981,0.926656,0,0.179767,0.124971
2212,0.802625,0.386195,0.652679,0,0.0918288,0
2212,0.914321,0.444653,0.698263,0,0.0665141,0.0772717
321,0.696117,0.660013,0.814098,0,0,0
211,0.690776,1.04766,0.976785,0,0,0
2212,3.20729,0.167673,0.966352,0,0.0287938,0.0533761
2212,0.658579,0.588413,0.568518,0,0,0
211,0.536965,0.338853,0.96051,74,0.0213321,0.151385
2212,1.2813,0.582482,0.819041,0,0.0390936,0.0791485
2212,1.36095,0.147539,0.824,0,0,0
211,1.34661,0.241262,0.984269,0,0.251499,0.0959029
2212,0.99321,0.755494,0.733585,0,0,0
211,0.596323,0.722834,0.971532,0,0,0
2212,2.49073,0.210577,0.926961,0,0.0330968,0.515953
211,0.217136,1.08713,0.833471,0,0,0
